	observed_otus	chao1	shannon	faith_pd
H1	139	139.5	5.241648355204383	9.775361071999999
H2	146	146.0	4.832249731793161	9.692013766999999
H3	138	138.0	4.615630923412437	9.264483959
H4	175	175.0	4.539881284680706	11.032202766999998
H5	185	185.0	4.771259316984883	12.045542737000002
H6	140	140.0	4.870566977339351	10.258981551
H7	202	202.0	6.393245619785972	11.86738153
H8	160	160.0	5.420437020889998	10.202738122
N1	226	226.0	5.937853315172746	12.32729398
N2	176	176.0	5.455969975550649	11.258689677
N3	337	337.0	6.726332412182635	17.671005047
N4	156	156.0	5.5866776086405245	9.711248396
N5	191	191.0	5.405995233448723	12.418185138999998
N6	171	171.0	5.17547644058274	11.904861872
N7	207	207.0	5.404892186532755	13.068453251
N8	179	179.0	5.307772084225912	10.163914764
O1	246	246.0	5.225200765909689	13.270302887
O2	223	223.0	6.041943935045263	12.697347357999998
O3	170	170.0	5.439909395311211	11.557771040999999
O4	226	226.0	6.233445282374864	12.482006802
O5	170	170.0	5.668065193374784	10.126912588
O6	202	202.0	6.030888098071395	10.590027279
O7	198	198.0	5.709120065573095	11.510430142999999
O8	247	247.0	5.716580021957733	13.085897689000001
