	H1	H2	H3	H4	H5	H6	H7	H8	N1	N2	N3	N4	N5	N6	N7	N8	O1	O2	O3	O4	O5	O6	O7	O8
H1	0	0.447554577762735	0.611606362524034	0.517914023960536	0.565999825281733	0.513844958659342	0.627446911530746	0.447924207610714	0.486176535871951	0.488897476293808	0.732855962544753	0.476636685574603	0.49312654212196	0.527672501084912	0.516170973508857	0.500079171548912	0.639377030065795	0.569875996708379	0.530366621404765	0.510473896054294	0.615493188905301	0.562410739788632	0.508379530233601	0.533069698467622
H2	0.447554577762735	0	0.443254676449204	0.444085326438268	0.484136244929711	0.435681124817615	0.705957405044656	0.473791287697463	0.479526066350711	0.475434918116394	0.719137645107794	0.549371312794232	0.39602767739586	0.476172069136893	0.548261647351637	0.48474270237737	0.654403567447046	0.551092318534179	0.555509880494465	0.643933875035024	0.593748054050688	0.599903504010615	0.513511868533171	0.4800655379574
H3	0.611606362524034	0.443254676449204	0	0.437382557753952	0.402293604153592	0.579213712420079	0.703716204813177	0.52893732298978	0.543528841492971	0.502765325726262	0.746008806593655	0.600024523327816	0.553586327933941	0.562900391178638	0.585076134038426	0.697615360792815	0.510317417106768	0.585025310118485	0.681976024398345	0.677122302158273	0.623709025594971	0.604990379243995	0.61203007518797	0.545624559784325
H4	0.517914023960536	0.444085326438268	0.437382557753952	0	0.306507012689629	0.51032664756447	0.721127763925802	0.501041825481527	0.48655724080615	0.463758975354163	0.744189228814388	0.542135115972855	0.463761500948903	0.49155357312328	0.517089503606661	0.599284984678243	0.450279790844877	0.53596114328414	0.623827744016805	0.620663142719846	0.616011354079058	0.566100480916812	0.57215777262181	0.454988239701934
H5	0.565999825281733	0.484136244929711	0.402293604153592	0.306507012689629	0	0.539384810901132	0.774170743432401	0.529356357927786	0.532938973529662	0.482264903966076	0.732592311229284	0.576724542468325	0.474526461363692	0.486126688447847	0.500265178592017	0.584862988481565	0.46592889098187	0.52127608539218	0.635549378426376	0.6643778096132	0.61407596034025	0.608040465777965	0.559379647333758	0.479417595770534
H6	0.513844958659342	0.435681124817615	0.579213712420079	0.51032664756447	0.539384810901132	0	0.733380099287719	0.411136995566243	0.480009035464197	0.458591562776674	0.731796914272457	0.474425222796375	0.48149025927857	0.495961605993211	0.496494186562528	0.528884637651975	0.683457472097077	0.509345255928649	0.525472209892982	0.660321900111409	0.465544477534637	0.582339443758037	0.519678837309754	0.400864019749023
H7	0.627446911530746	0.705957405044656	0.703716204813177	0.721127763925802	0.774170743432401	0.733380099287719	0	0.681517397005458	0.651134258702398	0.693102155035629	0.750190608602054	0.663721113844098	0.706610391832544	0.696068789164583	0.722140221402214	0.767048068959171	0.772750587155468	0.714364503764167	0.734936875486148	0.579052454433954	0.714675897989646	0.627001936614306	0.772751248875237	0.701171592497951
H8	0.447924207610714	0.473791287697463	0.52893732298978	0.501041825481527	0.529356357927786	0.411136995566243	0.681517397005458	0	0.447440687885472	0.356929637526652	0.67385302733346	0.173577735553817	0.495345832344488	0.508115700759546	0.488246684805255	0.553361913357401	0.592832080200501	0.450102249488753	0.484441749579693	0.567042937018673	0.562136035406476	0.60709845145247	0.56398563529613	0.47080448363743
N1	0.486176535871951	0.479526066350711	0.543528841492971	0.48655724080615	0.532938973529662	0.480009035464197	0.651134258702398	0.447440687885472	0	0.363573526870572	0.611396659967631	0.481913652275379	0.483757682177349	0.494663278271919	0.462126560829484	0.531967806113221	0.609951516147588	0.507641556706197	0.388268714352294	0.483080613381307	0.563729128014842	0.534553029616883	0.51256212667001	0.421368728231196
N2	0.488897476293808	0.475434918116394	0.502765325726262	0.463758975354163	0.482264903966076	0.458591562776674	0.693102155035629	0.356929637526652	0.363573526870572	0	0.607307232213459	0.351213553560996	0.384766164903375	0.402738502753386	0.376661119835001	0.487595777742056	0.526933205649988	0.372139546230788	0.434959243047729	0.551601065701503	0.509250566079417	0.516667561329111	0.548652451564022	0.403795797355494
