sp1	sp2	cor	p	interaction
Clostridium	Lactobacillus	-0.644347826086957	0.00067789315736134	spearman
p-75-a5	Lactobacillus	-0.537391304347826	0.00676729077971627	spearman
Dehalobacterium	Lactobacillus	-0.530026310397587	0.00772131826327225	spearman
Collinsella	Blautia	0.675652173913043	0.00029087233956732	spearman
Dorea	Blautia	0.686086956521739	0.000214525332370493	spearman
Holdemania	Blautia	0.763262189526295	1.43671249535414e-05	spearman
Bifidobacterium	Allobaculum	0.673455922786472	0.000309653624289177	spearman
Oscillospira	Desulfovibrio	0.610434782608696	0.0015355573996012	spearman
[Ruminococcus]	Desulfovibrio	0.532173913043478	0.00743223486279979	spearman
Blautia	Collinsella	0.675652173913043	0.0296619678511325	spearman
Blautia	Dorea	0.686086956521739	0.0291992813504282	spearman
Butyricicoccus	Dorea	0.600540993218683	0.00191643100451793	spearman
Holdemania	Dorea	0.777347766264958	7.85931746714383e-06	spearman
Streptococcus	Treponema	0.58796908888692	0.00251416538350209	spearman
[Prevotella]	Treponema	0.510971877049615	0.0107204390019699	spearman
Christensenella	Treponema	0.617440870056141	0.00130677855399536	spearman
[Ruminococcus]	Oscillospira	0.561739130434783	0.00428314044321915	spearman
Coprococcus	Oscillospira	0.719130434782609	7.50469673311601e-05	spearman
Turicibacter	Oscillospira	-0.554249681391153	0.00494812993747032	spearman
Dehalobacterium	Oscillospira	0.739773996449835	3.60607557236554e-05	spearman
Defluviitalea	Oscillospira	0.503277972110485	0.0121771610705224	spearman
[Ruminococcus]	X.Ruminococcus.	1	1.08802213777868e-173	spearman
Coprococcus	X.Ruminococcus.	0.659130434782609	0.000460063174833891	spearman
Dehalobacterium	Ruminococcus	0.519582442212413	0.00926395293716908	spearman
Adlercreutzia	Streptococcus	0.568695652173913	0.00373452243359139	spearman
Prevotella	Streptococcus	0.512877644532173	0.0103827888079291	spearman
Lactobacillus	Clostridium	-0.644347826086957	0.0415209558883821	spearman
