"Lactobacillus"	"Blautia"	"Allobaculum"	"Desulfovibrio"	"Collinsella"	"Dorea"	"Treponema"	"Oscillospira"	"[Ruminococcus]"	"Ruminococcus"	"Streptococcus"	"Clostridium"	"Coprococcus"	"Adlercreutzia"	"[Prevotella]"	"Gemella"	"Turicibacter"	"Butyricicoccus"	"p-75-a5"	"Shuttleworthia"	"Staphylococcus"	"Roseburia"	"Bifidobacterium"	"Holdemania"	"Dehalobacterium"	"Escherichia"	"Aggregatibacter"	"Bacteroides"	"Defluviitalea"	"Jeotgalicoccus"	"Coprobacillus"	"Corynebacterium"	"Helicobacter"	"Prevotella"	"rc4-4"	"[Eubacterium]"	"Enterococcus"	"Facklamia"	"Actinomyces"	"Rothia"	"Christensenella"	"Burkholderia"	"CandidatusArthromitus"	"Anaerostipes"	"Akkermansia"	"Veillonella"	"Lactococcus"	"Anaerofustis"	"Enterobacter"	"Psychrobacter"
"Lactobacillus"	1.08802213777868e-173	0.823712625875736	0.926405574570626	0.937444886814037	0.926405574570626	0.926405574570626	0.936453963185435	0.431085836726606	0.585860973492188	0.809717877408417	0.926405574570626	0.0415209558883821	0.342516675330112	0.813458848829126	0.988871685561511	0.926405574570626	0.890274073411195	0.926405574570626	0.201791562411689	0.886832807159005	0.911027700802173	0.984496720996591	0.926405574570626	0.8627488764717	0.203307888714216	0.936453963185435	0.604336691305452	0.926405574570626	0.911027700802173	0.813458848829126	0.813458848829126	0.926405574570626	0.804543400730293	0.999089350382565	0.721903676535917	0.564296778252277	0.541146701160503	0.956312793562864	0.942044409308303	0.926405574570626	0.936453963185435	0.973275789805635	0.936453963185435	0.893561553599894	0.926405574570626	0.731783364396186	0.813458848829126	0.721903676535917	0.602837666913097	0.8627488764717
"Blautia"	0.293846871434854	1.08802213777868e-173	0.926405574570626	0.844682024489712	0.0296619678511325	0.0291992813504282	0.787132937669762	0.8627488764717	0.926405574570626	0.893561553599894	0.936453963185435	0.926405574570626	0.777269393729071	0.926405574570626	0.38169642611177	0.934580662028214	0.926405574570626	0.434884159034817	0.518200722186278	0.984496720996591	0.958949588934703	0.926405574570626	0.731783364396186	0.00586657602269607	0.936453963185435	0.972553039887091	0.926405574570626	0.926405574570626	0.950316832171555	0.78536230113911	0.926405574570626	0.984496720996591	0.8627488764717	0.942791491678844	0.8627488764717	0.499801823400364	0.8627488764717	0.884970241097639	0.926405574570626	0.926405574570626	0.999089350382565	0.926405574570626	0.813458848829126	0.813458848829126	0.984496720996591	0.923188185028595	0.677266132689928	0.926405574570626	0.926405574570626	0.602837666913097
"Allobaculum"	0.511462281884675	0.768242407223753	1.08802213777868e-173	0.499801823400364	0.936453963185435	0.926405574570626	0.926405574570626	0.518200722186278	0.736051456392247	0.926405574570626	0.733919924304288	0.926405574570626	0.693249326133234	0.38169642611177	0.926405574570626	0.930622679741653	0.622937861381145	0.813458848829126	0.926405574570626	0.926405574570626	0.936453963185435	0.816520044688877	0.0296619678511325	0.926405574570626	0.733919924304288	0.813458848829126	0.936453963185435	0.936453963185435	0.926405574570626	0.99002081732639	0.893561553599894	0.926405574570626	0.926405574570626	0.930460574065763	0.95500773803783	0.923121348238813	0.926405574570626	0.908592382595612	0.640226108118164	0.882644784641063	0.926405574570626	0.926405574570626	0.813458848829126	0.8627488764717	0.813458848829126	0.926405574570626	0.936453963185435	0.602837666913097	0.926405574570626	0.926405574570626
"Desulfovibrio"	0.843291375977688	0.307533210548907	0.0484249428721042	1.08802213777868e-173	0.862214635038963	0.38169642611177	0.926405574570626	0.0752423125804586	0.202321949042883	0.926405574570626	0.926405574570626	0.942791491678844	0.518200722186278	0.762469696235529	0.790790577998164	0.926405574570626	0.813458848829126	0.926405574570626	0.926405574570626	0.588917674247836	0.762469696235529	0.522790252777937	0.277432145161379	0.886832807159005	0.518200722186278	0.926405574570626	0.926405574570626	0.499801823400364	0.856448192256949	0.893561553599894	0.602837666913097	0.926405574570626	0.923188185028595	0.926405574570626	0.936453963185435	0.999089350382565	0.926405574570626	0.936453963185435	0.884970241097639	0.893561553599894	0.926405574570626	0.926405574570626	0.518200722186278	0.926405574570626	0.984496720996591	0.991443115992886	0.936453963185435	0.893561553599894	0.602837666913097	0.926405574570626
"Collinsella"	0.731419179392403	0.00029087233956732	0.827523795864859	0.336060889674553	1.08802213777868e-173	0.541146701160503	0.270392521220594	0.636250075013227	0.926405574570626	0.936453963185435	0.813458848829126	0.893561553599894	0.856448192256949	0.99002081732639	0.443331958153711	0.926405574570626	0.99365402029551	0.926405574570626	0.849900223123443	0.989898648383518	0.942791491678844	0.886832807159005	0.704058043171018	0.542582482488891	0.926405574570626	0.736051456392247	0.813458848829126	0.925407827490761	0.876427029299457	0.721139207652146	0.926405574570626	0.926405574570626	0.564296778252277	0.926405574570626	0.911027700802173	0.936453963185435	0.73954963968061	0.926405574570626	0.926405574570626	0.95064718974801	0.932405883942325	0.926405574570626	0.926405574570626	0.926405574570626	0.984496720996591	0.890274073411195	0.893561553599894	0.926405574570626	0.762469696235529	0.602837666913097
"Dorea"	0.607453258751711	0.000214525332370493	0.573709735195867	0.0296009473311168	0.0663317812138594	1.08802213777868e-173	0.926405574570626	0.893561553599894	0.890274073411195	0.926405574570626	0.743605681439567	0.8627488764717	0.886832807159005	0.936453963185435	0.721903676535917	0.998195618702002	0.926405574570626	0.0782691206657409	0.615331126225561	0.717061191781061	0.926405574570626	0.893561553599894	0.621712672606652	0.00481383194862559	0.999089350382565	0.926405574570626	0.70512863962257	0.862214635038963	0.926405574570626	0.762469696235529	0.940143328831399	0.8627488764717	0.936453963185435	0.936453963185435	0.692428898803558	0.342516675330112	0.622860306313743	0.502034487207252	0.926405574570626	0.813458848829126	0.926405574570626	0.947475366521091	0.886832807159005	0.926405574570626	0.926405574570626	0.926405574570626	0.721903676535917	0.602837666913097	0.813458848829126	0.893561553599894
"Treponema"	0.811976504844526	0.238388832551414	0.633574808041439	0.758737708187164	0.0150095440351024	0.667462998940042	0	0.926405574570626	0.721903676535917	0.70512863962257	0.0962453935871894	0.721903676535917	0.813458848829126	0.309671715791737	0.234873711719174	0.911027700802173	0.972553039887091	0.687031456556086	0.762469696235529	0.863886250909982	0.926405574570626	0.926405574570626	0.958949588934703	0.602837666913097	0.923188185028595	0.989898648383518	0.733919924304288	0.733919924304288	0.936453963185435	0.893561553599894	0.926405574570626	0.936453963185435	0.926405574570626	0.74841150790866	0.51675771419068	0.813458848829126	0.70512863962257	0.943120362874175	0.936787744038138	0.926405574570626	0.0667001553601796	0.926405574570626	0.926405574570626	0.926405574570626	0.736051456392247	0.955523291517663	0.936453963185435	0.736051456392247	0.602837666913097	0.8627488764717
"Oscillospira"	0.0341349601326374	0.353049435242404	0.0598754793748706	0.0015355573996012	0.114784707410549	0.430702261720981	0.606105959269982	1.08802213777868e-173	0.14990991551267	0.604336691305452	0.94104860361524	0.70512863962257	0.0114915668725839	0.499801823400364	0.721903676535917	0.923188185028595	0.163539791542579	0.926405574570626	0.958055356431658	0.989898648383518	0.762469696235529	0.926405574570626	0.28149438485058	0.926405574570626	0.0102658393589159	0.813458848829126	0.736051456392247	0.813458848829126	0.257190039851551	0.999089350382565	0.621712672606652	0.936453963185435	0.926405574570626	0.936453963185435	0.602837666913097	0.70512863962257	0.70512863962257	0.926405574570626	0.762469696235529	0.926405574570626	0.926405574570626	0.721903676535917	0.926405574570626	0.926405574570626	0.813458848829126	0.926405574570626	0.893561553599894	0.984496720996591	0.602837666913097	0.936453963185435
"[Ruminococcus]"	0.0769988708018304	0.584865514360063	0.195251881074416	0.00743223486279979	0.546239269258583	0.404629262071875	0.165844350746319	0.00428314044321915	1.08802213777868e-173	0.813458848829126	0.926405574570626	0.813458848829126	0.0296619678511325	0.259310840905763	0.926405574570626	0.980900908411773	0.926405574570626	0.852628737200377	0.602837666913097	0.936453963185435	0.926405574570626	0.721903676535917	0.259310840905763	0.926405574570626	0.259310840905763	0.831077161643972	0.8627488764717	0.926405574570626	0.813458848829126	0.923121348238813	0.926405574570626	0.893561553599894	0.926405574570626	0.926405574570626	0.813458848829126	0.882644784641063	0.856448192256949	0.958076279782617	0.926405574570626	0.884970241097639	0.804543400730293	0.972553039887091	0.787132937669762	0.926405574570626	0.677266132689928	0.936453963185435	0.762469696235529	0.813458848829126	0.926405574570626	0.936453963185435
"Ruminococcus"	0.24985580217174	0.425895536307448	0.755909520377637	0.686195325298529	0.793069783929141	0.716239290501088	0.1529345799305	0.100320490694698	0.258646240546009	1.08802213777868e-173	0.923188185028595	0.804543400730293	0.856448192256949	0.881392988275224	0.523198311487457	0.926405574570626	0.731783364396186	0.942791491678844	0.926405574570626	0.602837666913097	0.926405574570626	0.731783364396186	0.926405574570626	0.762469696235529	0.222516516628081	0.984496720996591	0.762469696235529	0.831077161643972	0.588917674247836	0.926405574570626	0.989715852499437	0.926405574570626	0.828974741039307	0.813458848829126	0.911027700802173	0.886832807159005	0.641031287745804	0.926405574570626	0.83156839974493	0.925407827490761	0.641031287745804	0.926405574570626	0.721903676535917	0.8627488764717	0.984496720996591	0.926405574570626	0.984496720996591	0.893561553599894	0.762469696235529	0.762469696235529
