# Constructed from biom file
#OTU ID	A1	A2	A3	B1	B2	B3
609589	0.0	0.0	0.0	0.0	37.0	0.0
319316	14.0	70.0	17.0	23.0	56.0	66.0
4442774	0.0	0.0	0.0	14.0	0.0	23.0
245538	0.0	0.0	5.0	26.0	0.0	0.0
312736	29.0	0.0	0.0	0.0	0.0	0.0
725477	0.0	0.0	0.0	12.0	0.0	0.0
585653	0.0	0.0	0.0	6.0	0.0	0.0
518060	0.0	0.0	14.0	33.0	39.0	0.0
537708	0.0	0.0	13.0	24.0	3.0	8.0
319521	0.0	0.0	0.0	10.0	0.0	9.0
263546	10.0	0.0	0.0	19.0	0.0	0.0
355355	0.0	5.0	0.0	0.0	0.0	0.0
188700	75.0	0.0	117.0	70.0	0.0	128.0
3150722	0.0	0.0	0.0	0.0	0.0	11.0
100567	0.0	0.0	0.0	0.0	0.0	12.0
561676	0.0	32.0	0.0	0.0	0.0	0.0
309301	6.0	0.0	0.0	0.0	0.0	0.0
185670	0.0	0.0	0.0	0.0	0.0	17.0
328103	0.0	0.0	0.0	0.0	14.0	13.0
4298022	0.0	0.0	0.0	15.0	0.0	0.0
328785	0.0	0.0	0.0	6.0	0.0	0.0
269532	0.0	0.0	0.0	39.0	0.0	0.0
295737	18.0	0.0	0.0	0.0	0.0	0.0
307920	0.0	29.0	0.0	96.0	19.0	66.0
366623	0.0	0.0	22.0	18.0	0.0	0.0
16766	0.0	0.0	0.0	0.0	0.0	10.0
523481	15.0	0.0	0.0	0.0	0.0	0.0
301136	0.0	0.0	8.0	12.0	0.0	0.0
302106	22.0	0.0	0.0	0.0	0.0	0.0
273110	0.0	0.0	0.0	0.0	0.0	9.0
4322943	0.0	0.0	0.0	7.0	0.0	25.0
551822	0.0	17.0	49.0	53.0	96.0	73.0
198649	0.0	0.0	0.0	8.0	0.0	0.0
3807411	0.0	0.0	0.0	5.0	7.0	0.0
189843	3.0	0.0	0.0	0.0	0.0	0.0
588038	0.0	0.0	33.0	19.0	0.0	0.0
298379	0.0	0.0	17.0	0.0	0.0	0.0
