Group	A	A	A	B	B	B
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.04072831816	0.00776638707673	0.0	0.00124146492862	0.0032281205165
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0105414470532	0.00186393289842	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__	0.0	0.0	0.0	0.000663570006636	0.0	0.0
k__Bacteria|__|__|__|__|__	0.0	0.0	0.0	0.00243309002433	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.0136518771331	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.000442380004424	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|__	0.0	0.0	0.0	0.0	0.00124146492862	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|__	0.0	0.0	0.00124262193228	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__	0.0	0.0	0.000621310966139	0.00265428002654	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0.0	0.0	0.00248524386455	0.0	0.00558659217877	0.0030487804878
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__|g__	0.0	0.0	0.0	0.0	0.00186219739292	0.0
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__|g__	0.0	0.0	0.0	0.000663570006636	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|__|__	0.0409556313993	0.163392429324	0.137931034483	0.0422472904225	0.202669149597	0.132532281205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__	0.150170648464	0.0531863919502	0.027027027027	0.0227825702278	0.0422098075729	0.0297704447633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__	0.0273037542662	0.0138955438428	0.0232991612302	0.0165892501659	0.00527622594662	0.00789096126255
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|__	0.0	0.0	0.0102516309413	0.0112806901128	0.0207945375543	0.00699426111908
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.0796359499431	0.0838524197413	0.116185150668	0.018801150188	0.137181874612	0.109038737446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|__	0.118316268487	0.0594154288452	0.0844982913948	0.0973236009732	0.056486654252	0.100789096126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__	0.0182025028441	0.0	0.00559179869525	0.00862641008626	0.00279329608939	0.010581061693
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.0	0.0	0.0	0.0	0.0	0.00340746054519
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.0	0.0	0.013358185772	0.00132714001327	0.012104283054	0.00251076040172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0.110352673493	0.00574988021083	0.00217458838148	0.00221190002212	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.0489192263936	0.018207954001	0.0304442373408	0.0243309002433	0.00279329608939	0.025824964132
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.0	0.00335409678965	0.00341721031376	0.00729927007299	0.00217256362508	0.00573888091822
