Taxonomy	H1	H2	H3	H4	H5	H6	H7	H8	N1	N2	N3	N4	N5	N6	N7	N8	O1	O2	O3	O4	O5	O6	O7	O8	Tax_detail
Lactobacillaceae	0.334145991682203	0.33361112891852	0.510607817722901	0.577500116122439	0.559646972297132	0.335762128892107	0.112907536076964	0.394053295932679	0.342205180256381	0.446661589235847	0.0464456895969756	0.377386850748761	0.322619166086178	0.383044764537562	0.420990771373846	0.299472519993194	0.483986409966025	0.310260624559756	0.357622711019612	0.295555223732019	0.327864882862159	0.258042475659056	0.288859278141475	0.352757034019763	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;
Lachnospiraceae	0.234117309622831	0.0985319571767421	0.080223753325602	0.096660318639974	0.0798725177739642	0.0383779869659667	0.373129342597541	0.0661430575035063	0.124393819781211	0.0856562579334857	0.107979477485992	0.0714802649891444	0.0738879490496566	0.0800717784567632	0.0678652272331534	0.0464522715671261	0.202763306908267	0.10208969241606	0.0339148336764547	0.312975959384799	0.163266541558206	0.304845413653704	0.141359133306297	0.116089613034623	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;
F16	0.0306180983794636	0.15904865696519	0.121699979534757	0.0566213015003019	0.0422652610934052	0.277244750181028	0.124398717263495	0.0398316970546985	0.0811247697454983	0.0648387915714648	0.0522514007965976	0.0287813839559094	0.0349288486416559	0.110335127794752	0.0837106042138255	0.0494016221428166	0.0115515288788222	0.042779995304062	0.0874417596706035	0.00378278831317505	0.174707912101217	0.09235324261231	0.0952436127686693	0.191860903673531	k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;
Ruminococcaceae	0.040800229456475	0.0116674145778576	0.0552561566273279	0.021134283989038	0.0227506741848492	0.0284666908037654	0.100347407803314	0.076914446002805	0.053682192398782	0.0596598121350597	0.253797340174171	0.063129766742749	0.0819982087769927	0.119792424462874	0.100731325091416	0.0181498496965572	0.0909626274065685	0.136370039915473	0.0494636471990465	0.0801851575332238	0.0727041588473879	0.120651369356033	0.098545854817218	0.067813230746021	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;
Erysipelotrichaceae	0.0668291983364406	0.0364125905506763	0.00839074971007572	0.00994008082121789	0.00965923020348125	0.114093048515568	0.02632282202031	0.197699859747546	0.0404496071576256	0.0794110180248794	0.0546816985080672	0.194065579246228	0.0218429694496965	0.0177991173189776	0.0435312554414069	0.0736770461119619	0.00443941109852775	0.0865461375909838	0.152616751544046	0.0475337215668707	0.0918336461044857	0.023458406878096	0.00805283587277678	0.0465414498001056	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;
Peptostreptococcaceae	0.0851140111860032	0.126546573498301	0.018623371307729	0.0450555065260811	0.0423142927188036	0.0847664735698769	0.011825227151256	0.0552594670406732	0.0428931243186346	0.0328509774054329	0.0300411800445555	0.0382452819684908	0.119315354761668	0.0555798050341918	0.043966567995821	0.131529692019738	0.0103284258210646	0.0334820380370979	0.0567775490302308	0.0342441889403215	0.0354137659664629	0.0210100780048967	0.0648861595504316	0.0314173644112544	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;
Desulfovibrionaceae	0.0316219704574788	0.0233348291557151	0.0305614298383246	0.0156997538204283	0.0684481490561412	0.0095492396813903	0.010489043292357	0.0153716690042076	0.0329686853877674	0.0168062960142168	0.089515965705799	0.0140288370539442	0.018111254851229	0.0208060526698676	0.033693191711649	0.0194543701434972	0.0305322763306908	0.0236675275886358	0.018095134900856	0.0245881240356378	0.0220957685089897	0.0220918977395661	0.0472742019581716	0.025571396243494	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;
Coriobacteriaceae	0.0144127348343611	0.0271812295659978	0.0177365441025991	0.0269404059640485	0.00769796518754597	0.0111332367849385	0.0883885622661678	0.037531556802244	0.0274049847750085	0.0220868240670221	0.0174846418686289	0.075655514112342	0.0167678375957807	0.0258984431834716	0.0202855650356956	0.0106063184164256	0.0106002265005663	0.0227752993660484	0.0219958825441543	0.00507690010452441	0.0094436709243901	0.0186186870124694	0.0116447482764614	0.025571396243494	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;
Spirochaetaceae	0	0	0	0.00148636722560268	0.00156901201274822	0.000316799420709631	0.0129609834313201	0.000336605890603086	0.0113529566557648	0.0121858339680122	0.0517788429082563	0.000334019929855815	0.00174146681261817	0.00339492700906931	0.00204596900574613	0.00754353128013159	0.00742921857304643	0.00432026297252876	0.0123523675371113	0.00064705589567468	0	0	0.000289670355135855	0	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;
Streptococcaceae	0.0161336583966729	0.0129495480479518	0.011392318712054	0.00445910167680803	0.00573670017161069	0.00624547429398986	0.0116247995724212	0.0085273492286115	0.0474042329235743	0.034018786494034	0.0379734017417134	0.0161442966096977	0.0459747238531197	0.0259954410980164	0.0309942538742817	0.0332369122568204	0.00896942242355606	0.0377083822493543	0.0456170766063496	0.0109999502264696	0.00429808099763908	0.00540909867334738	0.00648861595504316	0.0185185185185185	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;
