Taxonomy	H1	H2	H3	H4	H5	H6	H7	H8	N1	N2	N3	N4	N5	N6	N7	N8	O1	O2	O3	O4	O5	O6	O7	O8	Tax_detail
producta	0.132439409149577	0.0229501891146868	0.01534893239648	0.021691671698639	0.00225545476832557	0.00882512671976828	0.0825093532870123	0.0181767180925666	0.0528551558212097	0.0296014216806296	0.00772969688786876	0.0143628569838	0.0148771021992238	0.0121247393181047	0.00709559463694933	0.00124780216663831	0.00135900339750849	0.00784221648274243	0.00525517390833243	0.0462893833059579	0.0199164598341304	0.0629732961339179	0.00567753896066277	0.0195745643810817	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta;
reuteri	0.00760074573354367	0.0157702416821591	0.0129613206903609	0.0267081610850481	0.027849963226281	0.0262038377986966	0.00982095136290754	0.0219354838709677	0.0180068418480508	0.0236608276212237	0	0.0220453153704838	0.0168673499850731	0.0158591590280809	0.0170642521330315	0.0142930066360388	0.00629671574178936	0.0204742897393754	0.0190161447610792	0.00741625603504057	0.0740359585931352	0.0224904629049707	0.0173222872371242	0.031945387342536	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri;
aerofaciens	0.00587982217123189	0.00987242771972562	0.00388839620710826	0.00473779553160853	0.00220642314292719	0.0013124547429399	0.0677445216461785	0.0138569424964937	0.00530055261080411	0.00223406956080223	0.00141767366502397	0.030562823581807	0.00253756592695791	0.00383141762452107	0.00239421904927738	0	0.00190260475651189	0.0013148626438131	0.00130024921443277	0.00248867652182569	0.00393486288516254	0.00962250185048113	0.00614101152888013	0.00622312740439013	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens;
gnavus	0.00932166929585544	0.0153214949676261	0.0060713554812743	0.00459844860420828	0.0081392498161314	0.00325850832729906	0.00414216996258685	0.00633941093969144	0.00499981203714146	0.00289413556740289	0.0114088975899548	0.00484328898290931	0.00890635884167579	0.00955429458266647	0.00844506355563295	0.00947195281039079	0.0187995469988675	0.0133834233388119	0.00704301657817748	0.0127917973221841	0.0394091652037048	0.00985025337356944	0.0482011470946063	0.0156521083201328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus;
stercoris	0.00293991108561595	0.000641066735047118	0	0	0	0.00108616944243302	0.00253874933190807	0.013015427769986	0	0	0	0.024105104937928	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__stercoris;
bromii	0	0.000320533367523559	0	0.00775697895861396	0.000539347879382202	0.00199131064446054	0.0136958845537146	0.00431977559607293	0.00150370286831322	0.000507743082000508	0.00199149395800986	0.0022824695206814	0.0102000199024779	0.00252194577816577	0.00261187532648442	0.00249560433327661	0.000362400906002265	0.00403850669171167	0.00254632137826417	0.0086108207655169	0.00284520854773291	0.00130957125775779	0.00364984647471178	0.000942898091574263	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii;
pullicaecorum	0	0	0	0.000232244879000418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00522622069583396	0	0.00239139099242726	0	0.000188579618314853	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum;
animalis	0.000717051484296572	0.000448746714532983	0	0.000743183612801338	0.000392253003187056	0.00126719768283852	0.00120256547300909	0.00280504908835905	0.000789444005864441	0.00106626047220107	0.000168770674407615	0.00384122919334187	0	0	0	0	0	0.00108006574313219	0.000866832809621844	0	0.000665899872873661	0	0	0.00184808025948555	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis;
callidus	0	0.000128213347009424	0.000409304863906133	0.000371591806400669	0.000392253003187056	0.00126719768283852	0.000534473543559594	0	0	0.000203097232800203	0.00364544656720448	0	0	0.000387991658179349	0	0.000680619363620895	0.000860702151755379	0.000187837520544729	0.000216708202405461	0.000995470608730277	0.00048429081663539	0.000797130330809087	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus;
sciuri	0	0	0	0.000232244879000418	0	0	0	0	0	0.000101548616400102	0	0	0.00338342123594387	0.000339492700906931	0.000304718788089849	0.00102092904543134	0	0	0	0.000547508834801652	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__sciuri;
