"Lactobacillus"	"Blautia"	"Allobaculum"	"Desulfovibrio"	"Collinsella"	"Dorea"	"Treponema"	"Oscillospira"	"[Ruminococcus]"	"Ruminococcus"	"Streptococcus"	"Clostridium"	"Coprococcus"	"Adlercreutzia"	"[Prevotella]"	"Gemella"	"Turicibacter"	"Butyricicoccus"	"p-75-a5"	"Shuttleworthia"	"Staphylococcus"	"Roseburia"	"Bifidobacterium"	"Holdemania"	"Dehalobacterium"	"Escherichia"	"Aggregatibacter"	"Bacteroides"	"Defluviitalea"	"Jeotgalicoccus"	"Coprobacillus"	"Corynebacterium"	"Helicobacter"	"Prevotella"	"rc4-4"	"[Eubacterium]"	"Enterococcus"	"Facklamia"	"Actinomyces"	"Rothia"	"Christensenella"	"Burkholderia"	"CandidatusArthromitus"	"Anaerostipes"	"Akkermansia"	"Veillonella"	"Lactococcus"	"Anaerofustis"	"Enterobacter"	"Psychrobacter"
"Lactobacillus"	1	-0.223478260869565	-0.140869565217391	-0.0426086956521739	-0.0739130434782609	-0.110434782608696	-0.0512610904618254	-0.433913043478261	-0.367826086956522	-0.244347826086956	-0.139130434782609	-0.644347826086957	-0.455652173913043	0.237391304347826	-0.0132690990763593	-0.065397702590628	0.178213930573099	-0.096407918643802	-0.537391304347826	0.184943219424536	0.16093373031108	0.0155447353141384	0.127724399149159	-0.19719807434128	-0.530026310397587	-0.0499198442173243	-0.341782322171814	-0.144611877965703	-0.159229188916312	-0.237525115143276	-0.240618574788612	-0.135551802331477	-0.245762439807846	0.0020722329072007	-0.288293842044129	-0.371699607666959	-0.379693360562072	-0.0302544510408026	0.0404064803982098	-0.0685685727969621	-0.0541276449274166	0.0222900817500139	-0.0571148177634596	-0.165674425071806	-0.105429179591149	-0.278340949575384	-0.225919670552462	0.286164916033119	-0.346410161513776	-0.195797047812134
"Blautia"	-0.223478260869565	1	0.0634782608695652	-0.217391304347826	0.675652173913043	0.686086956521739	-0.25017164661284	-0.198260869565217	-0.117391304347826	-0.170434782608696	-0.0547826086956522	0.144347826086957	-0.25304347826087	-0.0634782608695652	-0.445462611849205	-0.0587631530524483	-0.064923901357926	0.432496635027056	0.393043478260869	0.0172251037699323	-0.0274318858484796	-0.0850388461302866	0.277778238709009	0.763262189526295	0.0530896632746352	0.0226908382806019	-0.0843123500317737	-0.149967873445914	-0.0360161260644038	-0.251123881277434	0.0823018403077438	-0.0150613113701642	-0.200610735750125	0.0393724252368132	0.203074907603412	0.411589321660487	-0.204217544525417	-0.187577596452976	-0.0979551039956602	-0.0697930115969079	0.00108255289854833	-0.108592705961606	-0.241151452779052	-0.225919670552462	0.0150613113701642	0.154297700308093	0.316287538773447	-0.0753065568508208	-0.105429179591149	-0.346410161513776
"Allobaculum"	-0.140869565217391	0.0634782608695652	1	-0.40695652173913	-0.0469565217391304	0.120869565217391	0.102522180923651	-0.389565217391304	-0.273913043478261	-0.0669565217391304	0.275652173913043	0.088695652173913	-0.312173913043478	0.444347826086956	-0.117526306104897	-0.0606587386347854	0.333334124421566	-0.22896880677903	0.12695652173913	-0.0770596747602233	0.0557781678919084	-0.224941463957532	0.673455922786472	-0.117086356640135	-0.276762506907115	-0.24052288577438	-0.0498621424919092	-0.0441869627117426	-0.087196936787504	-0.00815925968049423	-0.175462951211648	-0.135551802331477	0.115451192653918	0.0616489289892207	0.0317304543130331	-0.155932518338334	0.0710979599458861	-0.161861313068294	0.329374037185407	-0.188563575191646	0.0963472079708016	0.0857310836538997	-0.225739517827007	0.195797047812134	0.225919670552462	0.142195919891772	-0.0451839341104925	-0.346410161513776	0.0753065568508208	0.135551802331477
"Desulfovibrio"	-0.0426086956521739	-0.217391304347826	-0.40695652173913	1	-0.205217391304348	-0.444347826086956	-0.0661574757242362	0.610434782608696	0.532173913043478	0.0869565217391304	0.109565217391304	-0.04	0.392173913043478	-0.26	0.249269504077321	0.0682410809641336	-0.228322981956733	-0.0642719457625347	-0.134782608695652	0.366260101213297	-0.257859726975708	0.386789590463562	-0.486781800953087	-0.18487319469495	0.388163767548972	0.11345419140301	0.137800830159458	0.406386157061026	0.21135779243058	-0.174970790926154	0.346925118519448	-0.135551802331477	0.152601328903942	0.111900576988838	-0.0444226360382464	-0.00271975322683141	0.148246810099933	0.0484071216652841	-0.1873391363917	0.17019699319246	0.0692833855070933	-0.112593489865455	0.392551049072667	0.0753065568508208	-0.0150613113701642	0.00756361276020065	0.0451839341104925	0.165674425071806	0.346410161513776	-0.105429179591149
"Collinsella"	-0.0739130434782609	0.675652173913043	-0.0469565217391304	-0.205217391304348	1	0.380869565217391	-0.490266326724638	-0.330434782608696	-0.129565217391304	0.0565217391304348	-0.23304347826087	-0.166086956521739	-0.211304347826087	-0.00869565217391304	-0.430297927190509	-0.120369684478402	0.00610023234235546	0.111136906214383	0.215652173913043	-0.00906584408943803	0.0393190363828207	-0.185622427574712	0.309039455283978	0.376789177759232	-0.102698037154212	-0.273802781919263	-0.233898777507501	-0.150637372880941	0.19240193660721	-0.296453101724624	-0.105735003173143	-0.0753065568508208	-0.372072903057925	-0.146092419957649	0.159558855974109	0.055301648945572	-0.272290059367223	-0.0892506305703676	0.149381533593382	0.0355087251984268	-0.0595404094201583	-0.12859662548085	0.0707135838976167	-0.135551802331477	-0.0150613113701642	0.178501261140735	-0.165674425071806	0.0753065568508208	-0.256042293292791	-0.346410161513776
"Dorea"	-0.110434782608696	0.686086956521739	0.120869565217391	-0.444347826086956	0.380869565217391	1	-0.0924452144226082	-0.168695652173913	-0.178260869565217	-0.0782608695652174	-0.271304347826087	0.196521739130435	-0.180869565217391	0.0556521739130435	-0.290024594097568	-0.00379117116467409	-0.0971679865960905	0.600540993218683	0.339130434782609	-0.298266270542511	0.0786380727656414	-0.167334503675725	0.334941606160381	0.777347766264958	0.00174064469752902	-0.130094139475451	-0.303705776996174	-0.206875325423158	0.127004234016582	-0.262002894184759	0.0417224607115645	-0.195797047812134	-0.0577255963269592	0.0575044631748193	0.312771621085612	0.458731710925564	-0.334311684000868	-0.400871476290634	-0.105301736795335	-0.237541127189476	0.081191467391125	-0.0371501362500232	-0.182223466197704	-0.135551802331477	0.0753065568508208	0.128581416923411	0.286164916033119	-0.346410161513776	-0.225919670552462	-0.165674425071806
"Treponema"	-0.0512610904618254	-0.25017164661284	0.102522180923651	-0.0661574757242362	-0.490266326724638	-0.0924452144226082	1	0.110846631511469	-0.292232028530235	0.300994608096359	0.58796908888692	0.28478383589903	-0.231332100545673	0.468359877809328	0.510971877049615	0.160454720269786	0.0228323965860687	-0.314387989472025	-0.257181710265739	-0.195045502356931	-0.0672646807238512	-0.0797040394878511	0.0274515888066796	-0.34730915597081	0.155232702018874	0.010670558137596	0.275895745722685	0.275932806210425	-0.0515747315152882	0.170836107450802	-0.0812074702593722	0.0455316990416748	0.108852566517882	0.27015856679759	-0.39465881507351	-0.237069357665685	0.304873089645601	-0.0388713189298141	0.0431852006937055	0.115366178996042	0.617440870056141	-0.0676728918828102	-0.0730849657543537	0.136595097125025	-0.273190194250049	-0.0312494916886741	-0.0455316990416748	-0.273190194250049	0.349076359319507	0.197304029180591
"Oscillospira"	-0.433913043478261	-0.198260869565217	-0.389565217391304	0.610434782608696	-0.330434782608696	-0.168695652173913	0.110846631511469	1	0.561739130434783	0.343478260869565	-0.0408695652173913	0.300869565217391	0.719130434782609	-0.409565217391304	0.284337837350557	-0.153542432169301	-0.554249681391153	0.115153902824541	0.0295652173913043	-0.0117855973162694	-0.264260500340353	0.105155562419172	-0.480529557638093	-0.069547535147148	0.739773996449835	0.2374974406703	0.273788491501029	0.235663801129294	0.503277972110485	0.00271975322683141	0.336065847923287	0.0451839341104925	0.117737354884689	0.0502516479996169	0.349034997443364	0.307332114631949	0.302544510408026	0.11950508161117	-0.264478780788283	-0.0979551039956602	0.07144849130419	-0.284055657173255	0.123295479616357	0.135551802331477	0.225919670552462	0.149759532651973	0.165674425071806	0.0150613113701642	0.346410161513776	-0.0451839341104925
"[Ruminococcus]"	-0.367826086956522	-0.117391304347826	-0.273913043478261	0.532173913043478	-0.129565217391304	-0.178260869565217	-0.292232028530235	0.561739130434783	1	0.24	-0.106086956521739	0.235652173913043	0.659130434782609	-0.494782608695652	0.10899617098438	-0.019903648614539	-0.148584230624515	0.213570319773422	0.344347826086956	0.0498621424919092	0.116128316758563	0.286206009019137	-0.496606754733791	0.143496813025128	0.495213416447007	0.220857492597859	0.197635401149749	0.10042491525396	0.238843783374467	0.155932518338334	0.10287730038468	0.165674425071806	0.0914464892308264	-0.0730462099788246	0.230272439871726	0.188569557060311	0.211781157285618	0.0287417284887625	-0.0844862771962569	0.1873391363917	-0.245739507970472	-0.0228616223077066	0.25021729686849	0.0753065568508208	0.316287538773447	-0.0499198442173243	0.256042293292791	-0.225919670552462	0.105429179591149	0.0451839341104925
"Ruminococcus"	-0.244347826086956	-0.170434782608696	-0.0669565217391304	0.0869565217391304	0.0565217391304348	-0.0782608695652174	0.300994608096359	0.343478260869565	0.24	1	0.15304347826087	0.246086956521739	0.211304347826087	0.190434782608696	0.385751666005588	-0.121317477269571	-0.281046418629948	-0.0395004666665578	-0.0982608695652174	-0.354474503897027	0.140817014022195	-0.277976443264593	0.0660951436156485	-0.262343866757596	0.519582442212413	-0.0151272255204013	0.256563387731096	0.221604312993739	0.366795810182218	-0.0979111161659308	-0.0125738922692386	0.105429179591149	0.222329276942447	0.225873386884876	-0.159558855974109	-0.180410297379817	0.328260793792708	0.0953015207785281	0.220398983990235	0.150605972393328	0.328013528260145	-0.0994480570385237	0.291920179679905	0.195797047812134	0.0150613113701642	0.0756361276020065	-0.0150613113701642	-0.165674425071806	0.256042293292791	-0.256042293292791
